Date,Open,High,Low,Close,Adj Close,Volume
1/5/2017,"5,650.00","5,650.00","5,550.00","5,625.00","4,829.74",10.54
1/6/2017,"5,600.00","5,675.00","5,575.00","5,600.00","4,808.28",11.66
1/9/2017,"5,650.00","5,675.00","5,550.00","5,550.00","4,765.35",5.59
1/10/2017,"5,625.00","5,625.00","5,550.00","5,600.00","4,808.28",9.26
1/11/2017,"5,625.00","5,625.00","5,575.00","5,600.00","4,808.28",12.12
1/12/2017,"5,625.00","5,625.00","5,550.00","5,550.00","4,765.35",5.23
1/13/2017,"5,550.00","5,600.00","5,400.00","5,475.00","4,700.95",10.90
1/16/2017,"5,525.00","5,625.00","5,475.00","5,475.00","4,700.95",17.42
1/17/2017,"5,475.00","5,550.00","5,475.00","5,525.00","4,743.88",18.35
1/18/2017,"5,575.00","5,575.00","5,525.00","5,575.00","4,786.81",20.68
1/19/2017,"5,575.00","5,600.00","5,450.00","5,450.00","4,679.49",12.43
1/20/2017,"5,475.00","5,525.00","5,450.00","5,450.00","4,679.49",11.50
1/23/2017,"5,500.00","5,575.00","5,450.00","5,525.00","4,743.88",17.99
1/24/2017,"5,550.00","5,575.00","5,500.00","5,550.00","4,765.35",10.05
1/25/2017,"5,600.00","5,600.00","5,500.00","5,500.00","4,722.42",25.85
1/26/2017,"5,550.00","5,625.00","5,525.00","5,600.00","4,808.28",32.74
1/27/2017,"5,600.00","5,800.00","5,575.00","5,750.00","4,937.07",60.70
1/30/2017,"5,775.00","5,800.00","5,700.00","5,725.00","4,915.61",28.48
1/31/2017,"5,700.00","5,725.00","5,625.00","5,700.00","4,894.14",19.78
2/1/2017,"5,700.00","5,950.00","5,675.00","5,950.00","5,108.80",69.95
2/2/2017,"5,975.00","6,075.00","5,950.00","6,025.00","5,173.19",43.32
2/3/2017,"6,000.00","6,025.00","5,950.00","5,975.00","5,130.26",18.21
2/6/2017,"6,050.00","6,150.00","6,000.00","6,025.00","5,173.19",24.97
2/7/2017,"6,025.00","6,100.00","6,025.00","6,100.00","5,237.59",25.39
2/8/2017,"6,125.00","6,175.00","6,075.00","6,125.00","5,259.06",52.19
2/9/2017,"6,175.00","6,250.00","6,150.00","6,200.00","5,323.45",65.36
2/10/2017,"6,250.00","6,275.00","6,200.00","6,250.00","5,366.38",44.43
2/13/2017,"6,300.00","6,300.00","6,250.00","6,300.00","5,409.31",28.82
2/14/2017,"6,300.00","6,325.00","6,175.00","6,300.00","5,409.31",23.10
2/15/2017,"6,300.00","6,300.00","6,300.00","6,300.00","5,409.31",0.00
2/16/2017,"6,250.00","6,275.00","6,125.00","6,200.00","5,323.45",44.17
2/17/2017,"6,300.00","6,300.00","6,200.00","6,300.00","5,409.31",17.06
2/20/2017,"6,250.00","6,300.00","6,200.00","6,275.00","5,387.85",16.15
2/21/2017,"6,300.00","6,300.00","6,200.00","6,275.00","5,387.85",19.93
2/22/2017,"6,275.00","6,300.00","6,200.00","6,275.00","5,387.85",20.59
2/23/2017,"6,250.00","6,325.00","6,225.00","6,325.00","5,430.78",13.06
2/24/2017,"6,350.00","6,375.00","6,275.00","6,350.00","5,452.25",18.72
2/27/2017,"6,350.00","6,350.00","6,125.00","6,175.00","5,301.99",31.16
2/28/2017,"6,200.00","6,275.00","6,175.00","6,250.00","5,366.38",18.74
3/1/2017,"6,150.00","6,250.00","6,150.00","6,225.00","5,344.92",21.82
3/2/2017,"6,275.00","6,350.00","6,225.00","6,225.00","5,344.92",20.19
3/3/2017,"6,300.00","6,350.00","6,250.00","6,350.00","5,452.25",25.25
3/6/2017,"6,350.00","6,350.00","6,275.00","6,300.00","5,409.31",14.30
3/7/2017,"6,350.00","6,350.00","6,250.00","6,300.00","5,409.31",18.35
3/8/2017,"6,300.00","6,300.00","6,250.00","6,275.00","5,387.85",13.13
3/9/2017,"6,400.00","6,400.00","6,275.00","6,400.00","5,495.18",11.00
3/10/2017,"6,400.00","6,425.00","6,300.00","6,300.00","5,409.31",12.56
